Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,TotalRebounds,Assists,PersonalFouls,Points,Awards
1972-73,1.0,Tiny Archibald,24.0,KCO,PG,80.0,,46.0,12.9,26.3,0.488,8.3,9.8,0.847,2.8,11.4,2.6,34.0,"MVP-3,AS,NBA1"
1972-73,2.0,Kareem Abdul-Jabbar,25.0,MIL,C,76.0,,42.8,12.9,23.3,0.554,4.3,6.1,0.713,16.1,5.0,2.7,30.2,"MVP-2,AS,NBA1"
1972-73,3.0,Spencer Haywood,23.0,SEA,PF,77.0,,42.3,11.5,24.3,0.476,6.1,7.3,0.839,12.9,2.5,2.8,29.2,"MVP-7,AS,NBA1"
1972-73,4.0,Lou Hudson,28.0,ATL,SF,75.0,,40.4,10.9,22.8,0.477,5.3,6.4,0.825,6.2,3.4,2.6,27.1,"MVP-18,AS"
1972-73,5.0,Pete Maravich,25.0,ATL,SG,79.0,,39.1,10.0,22.6,0.441,6.1,7.7,0.8,4.4,6.9,3.1,26.1,"MVP-19,AS,NBA2"
1972-73,6.0,Charlie Scott,24.0,PHO,PG,81.0,,37.8,10.0,22.3,0.446,5.4,6.9,0.784,4.2,6.1,3.8,25.3,AS
1972-73,7.0,Geoff Petrie,24.0,POR,SG,79.0,,39.7,10.6,22.8,0.464,3.8,4.8,0.778,3.5,4.4,2.1,24.9,
1972-73,8.0,Gail Goodrich,29.0,LAL,SG,76.0,,35.5,9.9,21.3,0.464,4.1,4.9,0.84,3.5,4.4,2.5,23.9,AS
1972-73,9.0,John Havlicek,32.0,BOS,SF,80.0,,42.1,9.6,21.3,0.45,4.6,5.4,0.858,7.1,6.6,2.4,23.8,"MVP-5,AS,NBA1"
1972-73,10.0,Bob Lanier,24.0,DET,C,81.0,,38.9,10.0,20.4,0.49,3.8,4.9,0.773,14.9,3.2,3.4,23.8,"MVP-14,AS"
1972-73,11.0,Sidney Wicks,23.0,POR,PF,80.0,,39.4,9.5,21.1,0.452,4.8,6.6,0.723,10.9,5.5,3.2,23.8,"MVP-16,AS"
1972-73,12.0,Bob Love,30.0,CHI,PF,82.0,75.0,37.0,9.4,21.9,0.431,4.2,5.1,0.824,6.5,1.5,2.9,23.1,"MVP-11,AS"
1972-73,13.0,Jerry West,34.0,LAL,PG,69.0,,35.7,9.0,18.7,0.479,4.9,6.1,0.805,4.2,8.8,2.0,22.8,"MVP-6,AS,NBA1"
1972-73,14.0,Dave Bing,29.0,DET,PG,82.0,,41.0,8.4,18.8,0.448,5.6,6.8,0.814,3.6,7.8,2.8,22.4,"MVP-19,AS"
1972-73,15.0,Rick Barry,28.0,GSW,SF,82.0,,37.5,9.0,19.9,0.452,4.4,4.8,0.902,8.9,4.9,3.0,22.3,"MVP-19,AS,NBA2"
1972-73,16.0,Elvin Hayes,27.0,BAL,PF,81.0,,41.3,8.8,19.8,0.444,3.6,5.4,0.671,14.5,1.6,2.9,21.2,"MVP-10,AS,NBA2"
1972-73,17.0,Walt Frazier,27.0,NYK,PG,78.0,78.0,40.8,8.7,17.8,0.49,3.7,4.5,0.817,7.3,5.9,2.4,21.1,"MVP-7,AS,NBA2"
1972-73,18.0,Austin Carr,24.0,CLE,SG,82.0,,37.8,8.6,19.2,0.446,3.4,4.2,0.822,4.5,3.4,2.3,20.5,
1972-73,19.0,Dave Cowens,24.0,BOS,C,82.0,,41.8,9.0,20.0,0.452,2.5,3.2,0.779,16.2,4.1,3.8,20.5,"MVP-1,AS,NBA2"
1972-73,20.0,Lenny Wilkens,35.0,CLE,PG,75.0,,39.6,7.6,17.0,0.449,5.3,6.3,0.828,4.6,8.4,2.9,20.5,"MVP-16,AS"
1972-73,21.0,Bob Dandridge,25.0,MIL,SF,73.0,,39.1,8.7,18.5,0.472,2.7,3.4,0.789,8.2,2.8,3.8,20.2,AS
1972-73,22.0,Neal Walk,24.0,PHO,C,81.0,,38.4,8.4,18.0,0.466,3.4,4.4,0.786,12.4,3.5,4.0,20.2,
1972-73,23.0,Fred Carter,27.0,PHI,SG,81.0,74.0,37.0,8.4,19.9,0.421,3.2,4.5,0.704,6.0,4.3,3.1,20.0,
1972-73,24.0,Chet Walker,32.0,CHI,SF,79.0,79.0,31.1,7.6,15.8,0.478,4.8,5.7,0.832,5.0,2.3,2.1,19.9,AS
1972-73,25.0,Phil Chenier,22.0,BAL,SG,71.0,,39.1,8.5,18.8,0.452,2.7,3.4,0.795,4.1,4.2,2.3,19.7,
1972-73,26.0,Jo Jo White,26.0,BOS,PG,82.0,,39.6,8.7,20.3,0.431,2.2,2.8,0.781,5.0,6.1,2.3,19.7,AS
1972-73,27.0,Rudy Tomjanovich,24.0,HOU,PF,81.0,,36.7,8.1,16.9,0.478,3.1,4.1,0.746,11.6,2.2,2.8,19.3,
1972-73,28.0,Jim McMillian,24.0,LAL,SF,81.0,,36.5,8.1,17.7,0.458,2.8,3.3,0.845,5.5,2.7,2.2,18.9,
1972-73,29.0,Jack Marin,28.0,HOU,SF,81.0,,37.3,7.7,16.5,0.468,3.1,3.6,0.849,6.2,3.6,3.0,18.5,AS
1972-73,30.0,Dick Van Arsdale,29.0,PHO,SG,81.0,,36.8,6.6,13.8,0.476,5.3,6.1,0.859,4.0,3.3,2.7,18.4,
1972-73,31.0,Archie Clark,31.0,BAL,PG,39.0,,37.9,7.7,15.3,0.507,2.8,3.5,0.81,3.3,7.1,2.8,18.3,
1972-73,32.0,Elmore Smith,23.0,BUF,C,76.0,,37.2,7.9,16.4,0.482,2.5,4.4,0.558,12.4,2.5,3.9,18.3,MVP-13
1972-73,33.0,Mike Riordan,27.0,BAL,SF,82.0,,42.3,8.0,15.6,0.51,2.2,2.7,0.821,4.9,5.2,2.6,18.1,
1972-73,34.0,Bob McAdoo,21.0,BUF,PF,80.0,,32.0,7.3,16.2,0.452,3.4,4.4,0.774,9.1,1.7,3.2,18.0,ROY-1
1972-73,35.0,Jimmy Walker,28.0,HOU,PG,81.0,,38.0,7.5,16.1,0.465,3.0,3.4,0.884,3.3,5.5,2.6,18.0,
1972-73,36.0,Jeff Mullins,30.0,GSW,SG,81.0,,37.1,8.0,16.3,0.493,1.8,2.1,0.831,4.5,4.2,2.5,17.8,
1972-73,37.0,Bob Kauffman,26.0,BUF,SF,77.0,,39.6,6.9,13.8,0.505,3.6,4.7,0.78,11.1,5.1,2.7,17.5,AS
1972-73,38.0,Nate Thurmond,31.0,GSW,C,79.0,,43.3,6.5,14.7,0.446,4.0,5.6,0.718,17.1,3.5,3.0,17.1,"MVP-9,AS"
1972-73,39.0,Mike Newlin,24.0,HOU,SG,82.0,,32.4,6.5,14.7,0.443,4.0,4.5,0.886,4.1,5.0,3.7,17.0,
1972-73,40.0,Dave DeBusschere,32.0,NYK,PF,77.0,77.0,36.7,6.9,15.9,0.435,2.5,3.4,0.746,10.2,3.4,2.8,16.3,"MVP-11,AS"
1972-73,41.0,Happy Hairston,30.0,LAL,PF,28.0,,33.5,5.6,11.7,0.482,5.0,6.4,0.787,13.2,2.4,2.8,16.3,
1972-73,42.0,Walt Bellamy,33.0,ATL,C,74.0,,37.9,6.1,12.2,0.505,3.8,7.1,0.538,13.0,2.4,3.3,16.1,
1972-73,43.0,Bill Bradley,29.0,NYK,SF,82.0,82.0,36.6,7.0,15.3,0.459,2.1,2.4,0.871,3.7,4.5,3.3,16.1,AS
1972-73,44.0,Connie Hawkins,30.0,PHO,SF,75.0,,36.9,5.9,12.3,0.479,4.3,5.4,0.797,8.5,4.1,3.1,16.1,AS
1972-73,45.0,Curtis Rowe,23.0,DET,PF,81.0,,37.1,6.8,13.0,0.519,2.6,4.0,0.642,9.4,2.1,2.4,16.1,
1972-73,46.0,Cazzie Russell,28.0,GSW,SF,80.0,,30.4,6.8,14.8,0.458,2.2,2.5,0.864,4.4,2.3,2.1,15.7,
1972-73,47.0,Lucius Allen,25.0,MIL,PG,80.0,,33.7,6.8,14.1,0.484,1.8,2.5,0.715,3.5,5.3,2.4,15.5,MVP-19
1972-73,48.0,Earl Monroe,28.0,NYK,SG,75.0,74.0,31.6,6.6,13.5,0.488,2.3,2.8,0.822,3.3,3.8,2.6,15.5,
1972-73,49.0,Oscar Robertson,34.0,MIL,PG,73.0,,37.5,6.1,13.5,0.454,3.3,3.8,0.847,4.9,7.5,2.3,15.5,
1972-73,50.0,John Block,28.0,2TM,PF,73.0,48.0,28.0,5.4,12.1,0.441,4.1,5.2,0.794,7.7,1.5,3.3,14.8,AS
1972-73,50.0,John Block,28.0,PHI,PF,48.0,48.0,32.5,6.5,14.7,0.441,4.9,6.3,0.781,9.2,2.0,3.6,17.9,
1972-73,50.0,John Block,28.0,KCO,PF,25.0,,19.3,3.2,7.2,0.444,2.6,3.0,0.842,4.8,0.8,2.8,9.0,
1972-73,51.0,Randy Smith,24.0,BUF,SG,82.0,,31.7,6.2,14.1,0.443,2.3,3.2,0.727,4.8,5.1,3.0,14.8,
1972-73,52.0,Tom Van Arsdale,29.0,2TM,SF,79.0,30.0,29.3,5.6,13.2,0.427,3.2,3.9,0.812,4.5,1.9,2.8,14.4,
1972-73,52.0,Tom Van Arsdale,29.0,KCO,SF,49.0,,26.2,5.1,11.2,0.457,2.2,2.9,0.786,3.5,1.8,2.5,12.4,
1972-73,52.0,Tom Van Arsdale,29.0,PHI,SF,30.0,30.0,34.3,6.5,16.5,0.393,4.7,5.6,0.833,6.2,2.1,3.4,17.7,
1972-73,53.0,John Johnson,25.0,CLE,SF,82.0,,34.3,6.0,13.9,0.43,2.4,3.3,0.734,6.7,3.8,3.0,14.4,
1972-73,54.0,Herm Gilliam,26.0,ATL,PG,76.0,,36.1,6.2,13.3,0.468,1.6,2.0,0.82,5.3,6.3,3.4,14.0,
1972-73,55.0,Kevin Loughery,32.0,PHI,SG,32.0,21.0,29.8,5.3,13.3,0.396,3.3,4.1,0.823,3.5,4.6,3.3,13.9,
1972-73,56.0,Norm Van Lier,25.0,CHI,PG,80.0,79.0,36.0,5.9,13.3,0.445,2.1,2.6,0.787,5.5,7.1,3.4,13.9,
1972-73,57.0,Dick Snyder,28.0,SEA,SG,82.0,,37.3,5.8,12.5,0.463,2.3,2.6,0.861,3.9,3.8,2.6,13.8,
1972-73,58.0,Fred Brown,24.0,SEA,SG,79.0,,29.4,6.0,13.1,0.455,1.5,1.9,0.818,4.0,5.5,2.9,13.5,
1972-73,59.0,Sam Lacey,24.0,KCO,C,79.0,,37.1,6.0,12.6,0.474,1.6,2.3,0.708,11.8,2.4,3.6,13.5,
1972-73,60.0,Lloyd Neal,22.0,POR,C,82.0,,33.2,5.5,11.2,0.494,2.3,3.6,0.638,11.8,1.8,3.7,13.4,ROY-2
1972-73,61.0,Paul Silas,29.0,BOS,PF,80.0,,32.7,5.0,10.6,0.47,3.3,4.8,0.7,13.0,3.1,2.5,13.3,
1972-73,62.0,Wilt Chamberlain,36.0,LAL,C,82.0,,43.2,5.2,7.1,0.727,2.8,5.5,0.51,18.6,4.5,2.3,13.2,"MVP-4,AS"
1972-73,63.0,Don Chaney,26.0,BOS,SG,79.0,,31.5,5.2,10.9,0.482,2.7,3.4,0.787,5.7,2.8,3.5,13.1,
1972-73,64.0,Calvin Murphy,24.0,HOU,PG,77.0,,22.0,4.9,10.6,0.465,3.1,3.5,0.888,1.9,3.4,2.7,13.0,
