Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,Steals,Blocks,PersonalFouls,Points,Awards
1973-74,1.0,Bob McAdoo,22.0,BUF,C,74.0,,43.0,12.2,22.3,0.547,6.2,7.8,0.793,3.8,11.3,15.1,2.3,1.2,3.3,3.4,30.6,"MVP-2,AS,NBA2"
1973-74,2.0,Pete Maravich,26.0,ATL,SG,76.0,,38.2,10.8,23.6,0.457,6.2,7.5,0.826,1.3,3.6,4.9,5.2,1.5,0.2,3.4,27.7,"MVP-17,AS"
1973-74,3.0,Kareem Abdul-Jabbar,26.0,MIL,C,81.0,,43.8,11.7,21.7,0.539,3.6,5.2,0.702,3.5,11.0,14.5,4.8,1.4,3.5,2.9,27.0,"MVP-1,AS,NBA1"
1973-74,4.0,Lou Hudson,29.0,ATL,SF,65.0,,39.8,10.4,20.9,0.5,4.5,5.4,0.836,1.9,3.4,5.4,3.3,2.5,0.4,3.2,25.4,AS
1973-74,5.0,Charlie Scott,25.0,PHO,PG,52.0,,38.5,10.3,22.5,0.459,4.7,6.1,0.781,1.2,3.0,4.3,5.2,1.9,0.4,3.7,25.4,AS
1973-74,6.0,Gail Goodrich,30.0,LAL,SG,82.0,,37.3,9.6,21.6,0.442,6.2,7.2,0.864,1.2,1.9,3.0,5.2,1.5,0.1,2.8,25.3,"AS,NBA1"
1973-74,7.0,Rick Barry,29.0,GSW,SF,80.0,,36.5,10.0,21.8,0.456,5.2,5.8,0.899,1.3,5.5,6.8,6.1,2.1,0.5,3.3,25.1,"MVP-7,AS,NBA1"
1973-74,8.0,Rudy Tomjanovich,25.0,HOU,SF,80.0,,40.3,9.9,18.4,0.536,4.8,5.7,0.848,2.9,6.1,9.0,3.1,1.1,0.8,2.9,24.5,"MVP-17,AS"
1973-74,9.0,Geoff Petrie,25.0,POR,PG,73.0,,38.4,10.1,21.1,0.481,4.0,4.7,0.853,0.9,2.0,2.8,4.3,1.2,0.2,2.7,24.3,AS
1973-74,10.0,Spencer Haywood,24.0,SEA,PF,75.0,,40.5,9.3,20.3,0.457,5.0,6.1,0.814,4.2,9.2,13.4,3.2,0.9,1.4,2.6,23.5,"MVP-17,AS,NBA2"
1973-74,11.0,John Havlicek,33.0,BOS,SF,76.0,,40.7,9.0,19.8,0.456,4.6,5.5,0.832,1.8,4.6,6.4,5.9,1.3,0.4,2.6,22.6,"MVP-9,AS,NBA1"
1973-74,12.0,Bob Lanier,25.0,DET,C,81.0,,37.6,9.2,18.3,0.504,4.0,5.0,0.797,3.3,9.9,13.3,4.2,1.4,3.0,3.4,22.5,"MVP-3,AS"
1973-74,13.0,Sidney Wicks,24.0,POR,PF,75.0,,38.0,9.1,19.9,0.459,4.2,5.5,0.762,2.6,6.5,9.1,4.3,1.2,0.8,2.9,22.5,AS
1973-74,14.0,Austin Carr,25.0,CLE,SG,81.0,,38.3,9.2,20.8,0.445,3.4,4.0,0.856,1.7,1.9,3.6,3.8,1.1,0.2,2.3,21.9,AS
1973-74,15.0,Phil Chenier,23.0,CAP,SG,76.0,,38.7,9.2,21.1,0.434,3.6,4.4,0.82,1.5,3.6,5.1,3.1,2.0,0.9,1.8,21.9,"MVP-11,AS"
1973-74,16.0,Bob Love,31.0,CHI,PF,82.0,76.0,40.1,8.9,21.4,0.417,3.9,4.8,0.818,2.2,3.8,6.0,1.6,1.0,0.3,2.7,21.8,MVP-15
1973-74,17.0,Fred Carter,28.0,PHI,SG,78.0,78.0,39.0,9.1,21.0,0.43,3.3,4.6,0.709,1.1,3.7,4.8,5.7,1.4,0.3,3.5,21.4,
1973-74,18.0,Elvin Hayes,28.0,CAP,PF,81.0,,44.5,8.5,20.1,0.423,4.4,6.1,0.721,4.4,13.7,18.1,2.0,1.1,3.0,3.1,21.4,"MVP-5,AS,NBA2"
1973-74,19.0,Walt Frazier,28.0,NYK,PG,80.0,80.0,41.7,8.4,17.9,0.472,3.7,4.4,0.838,1.5,5.2,6.7,6.9,2.0,0.2,2.7,20.5,"MVP-6,AS,NBA1"
1973-74,20.0,Cazzie Russell,29.0,GSW,SF,82.0,,31.4,9.0,18.7,0.482,2.5,3.0,0.835,1.7,2.6,4.3,2.3,0.7,0.2,2.4,20.5,
1973-74,21.0,Calvin Murphy,25.0,HOU,PG,81.0,,36.1,8.3,15.9,0.522,3.8,4.4,0.868,0.6,1.7,2.3,7.4,1.9,0.0,3.8,20.4,
1973-74,22.0,Jerry West,35.0,LAL,PG,31.0,,31.2,7.5,16.7,0.447,5.3,6.4,0.833,1.0,2.8,3.7,6.6,2.6,0.7,2.6,20.3,AS
1973-74,23.0,Tom Van Arsdale,30.0,PHI,SF,78.0,78.0,39.0,7.9,18.4,0.428,3.8,4.5,0.851,1.1,3.9,5.0,2.6,0.8,0.0,3.8,19.6,
1973-74,24.0,Chet Walker,33.0,CHI,SF,82.0,82.0,32.5,7.0,14.4,0.486,5.4,6.1,0.875,1.6,3.4,5.0,2.4,0.8,0.0,2.5,19.3,AS
1973-74,25.0,Jimmy Walker,29.0,2TM,SG,75.0,,39.4,7.8,16.5,0.469,3.6,4.4,0.82,0.5,2.2,2.7,4.1,1.1,0.1,2.3,19.2,
1973-74,25.0,Jimmy Walker,29.0,HOU,SG,3.0,,12.7,2.3,4.0,0.583,0.0,0.3,0.0,0.0,0.7,0.7,1.3,0.0,0.0,1.3,4.7,
1973-74,25.0,Jimmy Walker,29.0,KCO,SG,72.0,,40.6,8.0,17.1,0.468,3.8,4.6,0.822,0.5,2.3,2.8,4.2,1.1,0.1,2.3,19.8,
1973-74,26.0,Dave Cowens,25.0,BOS,C,80.0,,41.9,8.1,18.4,0.437,2.9,3.4,0.832,3.3,12.4,15.7,4.4,1.2,1.3,3.7,19.0,"MVP-4,AS"
1973-74,27.0,Bob Dandridge,26.0,MIL,SF,71.0,,35.5,8.2,16.3,0.503,2.5,3.0,0.818,1.6,5.1,6.7,2.8,1.6,0.6,3.8,18.9,
1973-74,28.0,Dave Bing,30.0,DET,PG,81.0,,38.6,7.2,16.5,0.436,4.4,5.4,0.813,1.3,2.1,3.5,6.9,1.3,0.2,2.7,18.8,"MVP-11,AS,NBA2"
1973-74,29.0,Jim McMillian,25.0,BUF,SF,82.0,,40.5,7.3,14.8,0.494,4.0,4.6,0.858,2.6,4.8,7.4,3.1,1.6,0.3,2.3,18.6,
1973-74,30.0,Mike Newlin,25.0,HOU,SG,76.0,,34.1,6.7,15.0,0.448,5.0,5.8,0.856,1.0,2.4,3.4,4.8,1.1,0.1,3.4,18.4,
1973-74,31.0,Dave DeBusschere,33.0,NYK,PF,71.0,71.0,38.0,7.9,17.1,0.461,2.3,3.1,0.756,1.9,8.8,10.7,3.6,0.9,0.5,3.1,18.1,"MVP-11,AS"
1973-74,32.0,Dick Snyder,29.0,SEA,SG,74.0,,36.1,7.7,16.1,0.481,2.6,3.0,0.866,1.2,2.9,4.1,3.6,1.2,0.4,3.5,18.1,
1973-74,33.0,Jo Jo White,27.0,BOS,PG,82.0,,39.5,7.9,17.6,0.449,2.3,2.8,0.837,1.2,3.1,4.3,5.5,1.3,0.3,2.3,18.1,AS
1973-74,34.0,Dick Van Arsdale,30.0,PHO,SG,78.0,,36.3,6.6,13.2,0.5,4.6,5.4,0.853,0.8,2.0,2.8,4.2,1.2,0.2,3.1,17.8,
1973-74,35.0,Lucius Allen,26.0,MIL,PG,72.0,,33.2,7.3,14.8,0.495,3.0,3.8,0.788,1.2,2.8,4.0,5.2,1.9,0.3,3.0,17.6,MVP-15
