Season,Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1969-70,1.0,Jerry West,31.0,LAL,PG,74.0,42.0,11.2,22.6,0.497,8.7,10.6,0.824,4.6,7.5,2.2,31.2,"MVP-2,AS,NBA1"
1969-70,2.0,Kareem Abdul-Jabbar,22.0,MIL,C,82.0,43.1,11.4,22.1,0.518,5.9,9.1,0.653,14.5,4.1,3.5,28.8,"MVP-3,ROY-1,AS,NBA2"
1969-70,3.0,Elvin Hayes,24.0,SDR,C,82.0,44.7,11.1,24.6,0.452,5.2,7.6,0.688,16.9,2.0,3.3,27.5,AS
1969-70,4.0,Wilt Chamberlain,33.0,LAL,C,12.0,42.1,10.8,18.9,0.568,5.8,13.1,0.446,18.4,4.1,2.6,27.3,
1969-70,5.0,Billy Cunningham,26.0,PHI,SF,81.0,39.4,9.9,21.1,0.469,6.3,8.6,0.729,13.6,4.3,4.1,26.1,"MVP-5,AS,NBA1"
1969-70,6.0,Lou Hudson,25.0,ATL,SF,80.0,38.6,10.4,19.6,0.531,4.6,5.6,0.824,4.7,3.5,2.8,25.4,"MVP-7,AS,NBA2"
1969-70,7.0,Oscar Robertson,31.0,CIN,PG,69.0,41.5,9.4,18.4,0.511,6.6,8.1,0.809,6.1,8.1,2.5,25.3,"MVP-16,AS,NBA2"
1969-70,8.0,Connie Hawkins,27.0,PHO,SF,81.0,40.9,8.8,17.9,0.49,7.1,9.1,0.779,10.4,4.8,3.5,24.6,"MVP-5,AS,NBA1"
1969-70,9.0,Bob Rule,25.0,SEA,C,80.0,37.0,9.9,21.3,0.463,4.8,6.8,0.714,10.3,1.8,3.5,24.6,AS
1969-70,10.0,John Havlicek,29.0,BOS,SG,81.0,41.6,9.1,19.6,0.464,6.0,7.1,0.844,7.8,6.8,2.6,24.2,"MVP-10,AS,NBA2"
1969-70,11.0,Elgin Baylor,35.0,LAL,SF,54.0,41.0,9.5,19.5,0.486,5.1,6.6,0.773,10.4,5.4,2.4,24.0,"MVP-15,AS"
1969-70,12.0,Earl Monroe,25.0,BAL,PG,82.0,37.2,8.5,19.0,0.446,6.5,7.8,0.83,3.1,4.9,3.1,23.4,MVP-16
1969-70,13.0,Dave Bing,26.0,DET,PG,70.0,33.3,8.2,18.5,0.444,6.5,8.3,0.783,4.3,6.0,2.8,22.9,
1969-70,14.0,Tom Van Arsdale,26.0,CIN,SF,71.0,35.8,8.7,19.4,0.451,5.4,6.9,0.774,6.5,2.2,3.5,22.8,AS
1969-70,15.0,Jeff Mullins,27.0,SFW,SG,74.0,38.7,8.9,19.3,0.46,4.3,5.1,0.847,5.2,4.9,3.2,22.1,AS
1969-70,16.0,Hal Greer,33.0,PHI,SG,80.0,37.8,8.8,19.4,0.455,4.4,5.4,0.815,4.7,5.1,3.8,22.0,AS
1969-70,17.0,Kevin Loughery,29.0,BAL,SG,55.0,37.0,8.7,19.7,0.441,4.6,5.4,0.849,3.1,5.3,3.3,21.9,
1969-70,18.0,Nate Thurmond,28.0,SFW,C,43.0,44.6,7.9,19.2,0.414,6.1,8.0,0.754,17.7,3.5,2.6,21.9,"MVP-11,AS"
1969-70,19.0,Flynn Robinson,28.0,MIL,PG,81.0,34.1,8.2,17.2,0.477,5.4,6.0,0.898,3.2,5.5,3.1,21.8,AS
1969-70,20.0,Willis Reed,27.0,NYK,C,81.0,38.1,8.7,17.1,0.507,4.3,5.7,0.756,13.9,2.0,3.5,21.7,"MVP-1,AS,NBA1"
1969-70,21.0,Chet Walker,29.0,CHI,SF,78.0,34.9,7.6,16.0,0.477,6.2,7.3,0.85,7.7,2.5,2.6,21.5,AS
1969-70,22.0,Dick Van Arsdale,26.0,PHO,SG,77.0,38.5,7.7,15.1,0.508,6.0,7.5,0.798,3.4,4.4,3.7,21.3,AS
1969-70,23.0,Joe Caldwell,28.0,ATL,SG,82.0,34.8,8.2,16.2,0.507,4.6,6.7,0.688,5.0,3.5,3.1,21.1,"MVP-12,AS"
1969-70,24.0,Bob Love,27.0,CHI,PF,82.0,38.1,7.8,16.7,0.466,5.4,6.4,0.842,8.7,1.8,3.2,21.0,MVP-16
1969-70,25.0,Walt Frazier,24.0,NYK,PG,77.0,39.5,7.8,15.0,0.518,5.3,7.1,0.748,6.0,8.2,2.6,20.9,"MVP-4,AS,NBA1"
1969-70,26.0,Jimmy Walker,25.0,DET,SG,81.0,35.4,8.2,17.2,0.478,4.4,5.4,0.807,3.0,3.1,2.5,20.8,AS
1969-70,27.0,Clem Haskins,26.0,CHI,SG,82.0,39.2,8.1,18.1,0.45,4.0,5.2,0.783,4.6,7.6,2.9,20.3,
1969-70,28.0,Gail Goodrich,26.0,PHO,PG,81.0,39.9,7.0,15.4,0.454,6.0,7.5,0.808,4.2,7.5,3.1,20.0,
1969-70,29.0,Archie Clark,28.0,PHI,PG,76.0,36.5,7.8,15.8,0.496,4.1,5.2,0.785,4.0,5.0,2.6,19.7,
1969-70,30.0,Jack Marin,25.0,BAL,SF,82.0,35.9,8.1,16.6,0.489,3.5,4.1,0.844,6.5,2.6,3.0,19.7,
1969-70,31.0,Happy Hairston,27.0,2TM,PF,70.0,34.7,6.9,13.9,0.496,4.7,5.9,0.789,11.1,1.7,3.3,18.5,
1969-70,31.0,Happy Hairston,27.0,DET,PF,15.0,18.8,3.8,6.9,0.553,3.0,4.2,0.714,5.9,0.7,2.4,10.6,
1969-70,31.0,Happy Hairston,27.0,LAL,PF,55.0,39.0,7.7,15.8,0.49,5.1,6.4,0.803,12.5,2.0,3.5,20.6,
1969-70,32.0,Lenny Wilkens,32.0,SEA,PG,75.0,37.4,6.0,14.2,0.42,5.8,7.4,0.788,5.0,9.1,2.8,17.8,AS
1969-70,33.0,Jon McGlocklin,26.0,MIL,SG,82.0,36.2,7.8,14.7,0.53,2.1,2.4,0.854,3.1,3.7,2.0,17.6,
1969-70,34.0,Gus Johnson,31.0,BAL,PF,78.0,37.4,7.4,16.4,0.451,2.5,3.5,0.724,13.9,3.4,3.4,17.3,"AS,NBA2"
1969-70,35.0,Connie Dierking,33.0,CIN,C,76.0,32.2,6.9,16.4,0.419,3.0,4.0,0.752,8.2,2.2,3.6,16.7,
1969-70,36.0,Wes Unseld,23.0,BAL,C,82.0,39.4,6.4,12.4,0.518,3.3,5.2,0.638,16.7,3.5,3.0,16.2,MVP-8
1969-70,37.0,Joe Ellis,25.0,SFW,SF,76.0,31.3,6.6,16.1,0.41,2.6,3.6,0.741,7.8,1.8,3.7,15.8,
